Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30-Jan-20,1/30/2020,1,1,0,0,0,0
31-Jan-20,1/31/2020,0,1,0,0,0,0
1-Feb-20,2/1/2020,0,1,0,0,0,0
2-Feb-20,2/2/2020,1,2,0,0,0,0
3-Feb-20,2/3/2020,1,3,0,0,0,0
4-Feb-20,2/4/2020,0,3,0,0,0,0
5-Feb-20,2/5/2020,0,3,0,0,0,0
6-Feb-20,2/6/2020,0,3,0,0,0,0
7-Feb-20,2/7/2020,0,3,0,0,0,0
8-Feb-20,2/8/2020,0,3,0,0,0,0
9-Feb-20,2/9/2020,0,3,0,0,0,0
10-Feb-20,2/10/2020,0,3,0,0,0,0
11-Feb-20,2/11/2020,0,3,0,0,0,0
12-Feb-20,2/12/2020,0,3,0,0,0,0
13-Feb-20,2/13/2020,0,3,1,1,0,0
14-Feb-20,2/14/2020,0,3,0,1,0,0
15-Feb-20,2/15/2020,0,3,0,1,0,0
16-Feb-20,2/16/2020,0,3,1,2,0,0
17-Feb-20,2/17/2020,0,3,0,2,0,0
18-Feb-20,2/18/2020,0,3,0,2,0,0
19-Feb-20,2/19/2020,0,3,0,2,0,0
20-Feb-20,2/20/2020,0,3,1,3,0,0
21-Feb-20,2/21/2020,0,3,0,3,0,0
22-Feb-20,2/22/2020,0,3,0,3,0,0
23-Feb-20,2/23/2020,0,3,0,3,0,0
24-Feb-20,2/24/2020,0,3,0,3,0,0
25-Feb-20,2/25/2020,0,3,0,3,0,0
26-Feb-20,2/26/2020,0,3,0,3,0,0
27-Feb-20,2/27/2020,0,3,0,3,0,0
28-Feb-20,2/28/2020,0,3,0,3,0,0
29-Feb-20,2/29/2020,0,3,0,3,0,0
1-Mar-20,3/1/2020,0,3,0,3,0,0
2-Mar-20,3/2/2020,2,5,0,3,0,0
3-Mar-20,3/3/2020,1,6,0,3,0,0
4-Mar-20,3/4/2020,22,28,0,3,0,0
5-Mar-20,3/5/2020,2,30,0,3,0,0
6-Mar-20,3/6/2020,1,31,0,3,0,0
7-Mar-20,3/7/2020,3,34,0,3,0,0
8-Mar-20,3/8/2020,5,39,0,3,0,0
9-Mar-20,3/9/2020,9,48,0,3,0,0
10-Mar-20,3/10/2020,15,63,1,4,0,0
11-Mar-20,3/11/2020,8,71,0,4,0,0
12-Mar-20,3/12/2020,10,81,0,4,1,1
13-Mar-20,3/13/2020,10,91,6,10,0,1
14-Mar-20,3/14/2020,11,102,0,10,1,2
15-Mar-20,3/15/2020,10,112,3,13,0,2
16-Mar-20,3/16/2020,14,126,1,14,0,2
17-Mar-20,3/17/2020,20,146,1,15,1,3
18-Mar-20,3/18/2020,25,171,0,15,0,3
19-Mar-20,3/19/2020,27,198,5,20,1,4
20-Mar-20,3/20/2020,58,256,3,23,0,4
21-Mar-20,3/21/2020,78,334,0,23,0,4
22-Mar-20,3/22/2020,69,403,0,23,3,7
23-Mar-20,3/23/2020,94,497,2,25,2,9
24-Mar-20,3/24/2020,74,571,15,40,1,10
25-Mar-20,3/25/2020,86,657,3,43,1,11
26-Mar-20,3/26/2020,73,730,7,50,5,16
27-Mar-20,3/27/2020,153,883,25,75,3,19
28-Mar-20,3/28/2020,136,1019,10,85,5,24
29-Mar-20,3/29/2020,120,1139,17,102,3,27
30-Mar-20,3/30/2020,187,1326,35,137,14,41
31-Mar-20,3/31/2020,309,1635,13,150,6,47
1-Apr-20,4/1/2020,424,2059,19,169,6,53
2-Apr-20,4/2/2020,486,2545,22,191,16,69
3-Apr-20,4/3/2020,560,3105,39,230,14,83
4-Apr-20,4/4/2020,579,3684,56,286,13,96
5-Apr-20,4/5/2020,609,4293,43,329,22,118
6-Apr-20,4/6/2020,484,4777,65,394,16,134
7-Apr-20,4/7/2020,573,5350,75,469,27,161
8-Apr-20,4/8/2020,565,5915,96,565,20,181
9-Apr-20,4/9/2020,813,6728,70,635,46,227
10-Apr-20,4/10/2020,871,7599,151,786,22,249
11-Apr-20,4/11/2020,854,8453,186,972,41,290
12-Apr-20,4/12/2020,758,9211,114,1086,42,332
13-Apr-20,4/13/2020,1243,10454,112,1198,27,359
14-Apr-20,4/14/2020,1031,11485,167,1365,37,396
15-Apr-20,4/15/2020,886,12371,144,1509,27,423
16-Apr-20,4/16/2020,1061,13432,258,1767,26,449
17-Apr-20,4/17/2020,922,14354,273,2040,38,487
18-Apr-20,4/18/2020,1371,15725,426,2466,35,522
19-Apr-20,4/19/2020,1580,17305,388,2854,38,560
20-Apr-20,4/20/2020,1239,18544,419,3273,33,593
21-Apr-20,4/21/2020,1537,20081,703,3976,53,646
22-Apr-20,4/22/2020,1292,21373,394,4370,36,682
23-Apr-20,4/23/2020,1667,23040,642,5012,40,722
24-Apr-20,4/24/2020,1408,24448,484,5496,59,781
25-Apr-20,4/25/2020,1835,26283,442,5938,44,825
26-Apr-20,4/26/2020,1607,27890,585,6523,56,881
27-Apr-20,4/27/2020,1568,29458,580,7103,58,939
28-Apr-20,4/28/2020,1902,31360,636,7739,69,1008
29-Apr-20,4/29/2020,1705,33065,690,8429,71,1079
30-Apr-20,4/30/2020,1801,34866,630,9059,75,1154
1-May-20,5/1/2020,2396,37262,962,10021,77,1231
2-May-20,5/2/2020,2564,39826,831,10852,92,1323
3-May-20,5/3/2020,2952,42778,911,11763,140,1463
4-May-20,5/4/2020,3656,46434,1082,12845,103,1566
5-May-20,5/5/2020,2971,49405,1295,14140,128,1694
6-May-20,5/6/2020,3602,53007,1161,15301,91,1785
7-May-20,5/7/2020,3344,56351,1475,16776,104,1889
8-May-20,5/8/2020,3339,59690,1111,17887,97,1986
9-May-20,5/9/2020,3175,62865,1414,19301,115,2101
10-May-20,5/10/2020,4311,67176,1669,20970,112,2213
11-May-20,5/11/2020,3592,70768,1579,22549,81,2294
12-May-20,5/12/2020,3562,74330,1905,24454,120,2414
13-May-20,5/13/2020,3726,78056,1963,26417,137,2551
14-May-20,5/14/2020,3991,82047,1594,28011,97,2648
15-May-20,5/15/2020,3808,85855,2234,30245,104,2752
16-May-20,5/16/2020,4794,90649,4012,34257,120,2872
17-May-20,5/17/2020,5049,95698,2538,36795,152,3024
18-May-20,5/18/2020,4628,100326,2482,39277,131,3155
19-May-20,5/19/2020,6154,106480,3032,42309,146,3301
20-May-20,5/20/2020,5720,112200,3113,45422,134,3435
21-May-20,5/21/2020,6023,118223,3131,48553,148,3583
22-May-20,5/22/2020,6536,124759,3280,51833,142,3725
23-May-20,5/23/2020,6667,131424,2576,54409,142,3867
24-May-20,5/24/2020,7111,138537,3285,57694,156,4023
25-May-20,5/25/2020,6414,144951,3012,60706,150,4173
26-May-20,5/26/2020,5907,150858,3585,64291,173,4346
27-May-20,5/27/2020,7246,158104,3434,67725,188,4534
28-May-20,5/28/2020,7254,165358,3171,70896,176,4710
29-May-20,5/29/2020,8138,173496,11735,82631,269,4979
30-May-20,5/30/2020,8364,181860,4303,86934,205,5184
31-May-20,5/31/2020,8789,190649,4928,91862,222,5406
1-Jun-20,6/1/2020,7723,198372,3882,95744,201,5607
2-Jun-20,6/2/2020,8812,207187,4531,100275,222,5829
3-Jun-20,6/3/2020,9689,216876,3789,104064,259,6088
4-Jun-20,6/4/2020,9847,226723,4390,108454,274,6362
5-Jun-20,6/5/2020,9472,236195,4770,113224,286,6648
6-Jun-20,6/6/2020,10408,246603,5433,118657,297,6945
7-Jun-20,6/7/2020,10882,257485,5191,123848,261,7206
8-Jun-20,6/8/2020,8536,266021,5171,129019,271,7477
9-Jun-20,6/9/2020,9981,276002,5634,134653,272,7749
10-Jun-20,6/10/2020,11156,287158,6275,140928,358,8107
11-Jun-20,6/11/2020,11135,298293,6044,146972,394,8501
12-Jun-20,6/12/2020,11306,309599,7263,154235,388,8889
13-Jun-20,6/13/2020,12039,321638,8092,162327,309,9198
14-Jun-20,6/14/2020,11405,333043,7358,169685,324,9522
15-Jun-20,6/15/2020,10032,343075,10639,180324,396,9918
16-Jun-20,6/16/2020,11086,354161,7226,187550,2004,11922
17-Jun-20,6/17/2020,13108,367269,6890,194440,341,12263
18-Jun-20,6/18/2020,13829,381098,10741,205181,343,12606
19-Jun-20,6/19/2020,14740,395838,9029,214210,364,12970
20-Jun-20,6/20/2020,15918,411753,13974,228184,308,13278
21-Jun-20,6/21/2020,15151,426904,9075,237259,426,13704
22-Jun-20,6/22/2020,13560,440464,10879,248138,312,14016
